,0
838,14959306.32
839,14873065.8
840,14788803.78
841,14706497.83
842,14626124.87
843,14547661.19
844,14471082.39
845,14396363.52
846,14323479.36
847,14252404.33
848,14183112.43
849,14115577.35
850,14049772.49
851,13985670.93
852,13923245.34
853,13862467.93
854,13803310.66
855,13745745.4
856,13689744.03
857,13635278.46
858,13582320.59
859,13530842.12
860,13480813.91
861,13432206.77
862,13384991.66
863,13339139.83
864,13294622.9
865,13251412.79
866,13209481.32
867,13168799.13
868,13129336.85
869,13091065.59
870,13053956.96
871,13017983.22
872,12983117.26
873,12949331.95
874,12916598.56
875,12884888.37
876,12854173.38
877,12824426.37
878,12795620.99
879,12767731.79
880,12740733.71
881,12714599.74
882,12689302.53
883,12664815.63
884,12641113.62
885,12618172.14
886,12595968.01
887,12574478.84
888,12553680.19
889,12533546.64
890,12514053.82
891,12495178.61
892,12476899.14
893,12459194.92
894,12442046.66
895,12425433.21
896,12409331.57
897,12393719.9
898,12378577.71
899,12363886.01
900,12349627.35
901,12335785.79
902,12322344.04
903,12309282
904,12296580.62
905,12284222.39
906,12272191.42
907,12260473.54
908,12249056.34
909,12237926.78
910,12227068.06
911,12216464.18
912,12206100.79
913,12195965.3
914,12186046.98
915,12176336.99
916,12166826.74
917,12157503.16
918,12148353.46
919,12139366.59
920,12130533.36
921,12121846.53
922,12113300.89
923,12104891.7
924,12096609.35
925,12088444.24
926,12080388.6
927,12072436.57
928,12064584.31
929,12056830.11
930,12049172.64
931,12041605.46
932,12034122.05
933,12026717.73
934,12019389.76
935,12012137.47
936,12004962.31
937,11997866.15
938,11990845.42
939,11983896.47
940,11977017.45
941,11970208.44
942,11963471.57
943,11956811.08
944,11950231.59
945,11943732.13
946,11937311.56
947,11930970.51
948,11924711.48
949,11918538.96
950,11912459.5
951,11906479.94
952,11900601.51
953,11894825.18
954,11889153.61
955,11883591.24
956,11878144.37
957,11872821.28
958,11867630.47
959,11862574.87
960,11857657.07
961,11852881.24
962,11848253.17
963,11843780.4
964,11839472.29
965,11835338.67
966,11831384.05
967,11827612.17
968,11824028.14
969,11820638.59
970,11817451.68
971,11814477.24
972,11811726.03
973,11809204.23
974,11806916.26
975,11804867.76
976,11803065.63
977,11801518.19
978,11800235.16
979,11799227.42
980,11798502.31
981,11798064.54
982,11797919.75
983,11798074.72
984,11798537.34
985,11799316.78
986,11800423.3
987,11801864.74
988,11803645.75
989,11805771.56
990,11808248.32
991,11811083.13
992,11814284.07
993,11817860.24
994,11821819.31
995,11826165.49
996,11830903.25
997,11836037.74
998,11841574.84
999,11847521.23
1000,11853884.39
1001,11860671.14
1002,11867885.02
1003,11875529.37
1004,11883608.06
1005,11892125.51
1006,11901086.7
1007,11910497.21
1008,11920362.42
1009,11930684.86
1010,11941466.55
1011,11952709.88
1012,11964417.59
1013,11976592.84
1014,11989239.19
1015,12002359.96
1016,12015956.17
1017,12030028.34
1018,12044577.24
1019,12059603.84
1020,12075109.37
1021,12091095.34
1022,12107563
1023,12124511.75
1024,12141940.61
1025,12159848.67
1026,12178235.15
1027,12197099.44
1028,12216441.04
1029,12236259.25
1030,12256551.93
1031,12277316.6
1032,12298550.79
1033,12320252.09
1034,12342418.2
1035,12365046.84
1036,12388135.58
1037,12411680.86
1038,12435678.84
1039,12460125.65
1040,12485017.49
1041,12510350.58
1042,12536121.19
1043,12562325.43
1044,12588958.52
1045,12616015.43
1046,12643491.14
1047,12671380.66
1048,12699679.06
1049,12728381.45
1050,12757482.83
1051,12786977.38
1052,12816859.09
1053,12847121.96
1054,12877760.08
1055,12908767.62
1056,12940138.86
1057,12971868.05
1058,13003948.63
1059,13036373.77
1060,13069136.72
1061,13102230.84
1062,13135649.64
1063,13169386.82
1064,13203436.16
1065,13237790.64
1066,13272442.73
1067,13307385.09
1068,13342610.52
1069,13378112.06
1070,13413883.03
1071,13449916.94
1072,13486206.53
1073,13522743.77
1074,13559520.79
1075,13596530.02
1076,13633764.15
1077,13671216.25
1078,13708879.74
1079,13746747.35
1080,13784810.69
1081,13823061.55
1082,13861492.05
1083,13900094.7
1084,13938862.46
1085,13977788.75
1086,14016866.57
1087,14056087.37
1088,14095442.71
1089,14134924.58
1090,14174525.44
1091,14214238.28
1092,14254056.69
1093,14293974.11
1094,14333982.12
1095,14374072.25
1096,14414236.51
1097,14454467.48
1098,14494758.39
1099,14535103.1
1100,14575495.56
1101,14615927.57
1102,14656390.79
1103,14696877.43
1104,14737380.37
1105,14777893.19
1106,14818410.26
1107,14858926.01
1108,14899432.53
1109,14939921.73
1110,14980386.22
1111,15020819.28
1112,15061215.03
1113,15101568.43
1114,15141874.57
1115,15182125.95
